Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
ZE1 0PB,Yes,60.157669,-1.158863,446794,1141763,HU467417,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",97,39,"","","Lerwick North - 06","Very remote small town",,12,,S01012400,,S02002324,"Lerwick North",,S00129070,S14000051,3102,1,0,2020-02-19,"Thurso",219.784,ZE,ZE1,"Scotland","Scottish Water",9CGW5R5R+3F,
ZE1 0PD,Yes,60.155821,-1.159019,446788,1141557,HU467415,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",41,20,"","","Lerwick North - 05","Very remote small town",,8,,S01012399,,S02002324,"Lerwick North",,S00129067,S14000051,4443,1,0,2020-02-19,"Thurso",219.619,ZE,ZE1,"Scotland","Scottish Water",9CGW5R4R+89,
ZE1 0PE,Yes,60.157537,-1.154994,447009,1141751,HU470417,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1993-05-01,,"","",,,"","","Lerwick North - 06","Very remote small town",,1,,S01012400,,S02002324,"Lerwick North",,S00129070,S14000051,3102,1,1,2020-02-19,"Thurso",219.906,ZE,ZE1,"Scotland","Scottish Water",9CGW5R5W+22,
ZE1 0PF,Yes,60.164128,-1.16214,446603,1142480,HU466424,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1991-08-01,,"","",34,21,"","","Lerwick North - 07","Very remote small town",,14,,S01012401,,S02002324,"Lerwick North",,S00129073,S14000051,2548,1,0,2020-02-19,"Thurso",220.233,ZE,ZE1,"Scotland","Scottish Water",9CGW5R7Q+M4,
ZE1 0PG,Yes,60.163483,-1.160967,446669,1142409,HU466424,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1990-10-01,,"","",26,23,"","","Lerwick North - 07","Very remote small town",,16,,S01012401,,S02002324,"Lerwick North",,S00129073,S14000051,2548,1,0,2020-02-19,"Thurso",220.217,ZE,ZE1,"Scotland","Scottish Water",9CGW5R7Q+9J,
ZE1 0PH,Yes,60.159738,-1.157899,446845,1141994,HU468419,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1994-05-01,,"","",10,5,"","","Lerwick North - 06","Very remote small town",,9,,S01012400,,S02002324,"Lerwick North",,S00129072,S14000051,3102,1,0,2020-02-19,"Thurso",219.997,ZE,ZE1,"Scotland","Scottish Water",9CGW5R5R+VR,
ZE1 0PJ,Yes,60.153354,-1.159406,446770,1141282,HU467412,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",51,24,"","","Lerwick North - 05","Very remote small town",,5,,S01012399,,S02002324,"Lerwick North",,S00129130,S14000051,4443,1,0,2020-02-19,"Thurso",219.391,ZE,ZE1,"Scotland","Scottish Water",9CGW5R3R+86,
ZE1 0PL,Yes,60.153011,-1.159199,446782,1141244,HU467412,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",12,4,"","","Lerwick North - 05","Very remote small town",,4,,S01012399,,S02002324,"Lerwick North",,S00129130,S14000051,4443,1,0,2020-02-19,"Thurso",219.369,ZE,ZE1,"Scotland","Scottish Water",9CGW5R3R+68,
ZE1 0PN,Yes,60.158087,-1.159609,446752,1141809,HU467418,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",19,8,"","","Lerwick North - 06","Very remote small town",,15,,S01012400,,S02002324,"Lerwick North",,S00129072,S14000051,3102,1,0,2020-02-19,"Thurso",219.795,ZE,ZE1,"Scotland","Scottish Water",9CGW5R5R+65,
ZE1 0PP,Yes,60.159113,-1.158556,446809,1141924,HU468419,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",12,5,"","","Lerwick North - 06","Very remote small town",,12,,S01012400,,S02002324,"Lerwick North",,S00129072,S14000051,3102,1,0,2020-02-19,"Thurso",219.92,ZE,ZE1,"Scotland","Scottish Water",9CGW5R5R+JH,
