Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DG11 1SX,Yes,55.143382,-3.406515,310447,584128,NY104841,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",15,6,"","","Lochmaben - 04","Accessible rural area",,51,,S01007634,,S02001435,"Lochmaben",,S00097148,S14000014,3818,1,0,2020-02-19,"Lockerbie",4.05317,DG,DG11,"Scotland","Scottish Water",9C7R4HVV+99,
DG11 1SY,Yes,55.15521,-3.405217,310556,585443,NY105854,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",45,17,"","","Lochmaben - 04","Accessible rural area",,54,,S01007634,,S02001435,"Lochmaben",,S00097148,S14000014,3818,1,0,2020-02-19,"Lockerbie",4.85192,DG,DG11,"Scotland","Scottish Water",9C7R5H4V+3W,
DG11 1SZ,Yes,55.156452,-3.404684,310593,585580,NY105855,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",29,8,"","","Lochmaben - 04","Accessible rural area",,63,,S01007634,,S02001435,"Lochmaben",,S00097148,S14000014,3818,1,0,2020-02-19,"Lockerbie",4.93203,DG,DG11,"Scotland","Scottish Water",9C7R5H4W+H4,
DG11 1TA,Yes,55.154225,-3.418083,309734,585350,NY097853,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",11,3,"","","Lochmaben - 04","Accessible rural area",,58,,S01007634,,S02001435,"Lochmaben",,S00098244,S14000014,3818,1,0,2020-02-19,"Lockerbie",5.36696,DG,DG11,"Scotland","Scottish Water",9C7R5H3J+MQ,
DG11 1TB,Yes,55.148735,-3.425345,309259,584748,NY092847,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",10,5,"","","Lochmaben - 04","Accessible rural area",,56,,S01007634,,S02001435,"Lochmaben",,S00098244,S14000014,3818,1,0,2020-02-19,"Lockerbie",5.38038,DG,DG11,"Scotland","Scottish Water",9C7R4HXF+FV,
DG11 1TD,Yes,55.149663,-3.431295,308882,584859,NY088848,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",16,6,"","","Lochmaben - 04","Accessible rural area",,53,,S01007634,,S02001435,"Lochmaben",,S00098244,S14000014,3818,1,0,2020-02-19,"Lockerbie",5.75654,DG,DG11,"Scotland","Scottish Water",9C7R4HX9+VF,
DG11 1TE,Yes,55.156982,-3.436281,308581,585680,NY085856,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",11,5,"","","Lochmaben - 04","Accessible rural area",,54,,S01007634,,S02001435,"Lochmaben",,S00098244,S14000014,3818,1,0,2020-02-19,"Lockerbie",6.46777,DG,DG11,"Scotland","Scottish Water",9C7R5H47+QF,
DG11 1TF,Yes,55.160706,-3.437514,308511,586096,NY085860,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",47,25,"","","Lochmaben - 04","Accessible rural area",,58,,S01007634,,S02001435,"Lochmaben",,S00097145,S14000014,3818,1,0,2020-02-19,"Lockerbie",6.77863,DG,DG11,"Scotland","Scottish Water",9C7R5H66+7X,
DG11 1TG,Yes,55.16226,-3.439893,308363,586272,NY083862,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",56,19,"","","Lochmaben - 04","Accessible rural area",,58,,S01007634,,S02001435,"Lochmaben",,S00097145,S14000014,3818,1,0,2020-02-19,"Lockerbie",7.00413,DG,DG11,"Scotland","Scottish Water",9C7R5H66+W2,
DG11 1TH,Yes,55.178057,-3.456731,307327,588052,NY073880,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",8,3,"","","Lockerbie - 06","Remote rural area",,66,,S01007640,,S02001436,"Lockerbie",,S00097149,S14000014,3614,1,0,2020-02-19,"Lockerbie",8.96043,DG,DG11,"Scotland","Scottish Water",9C7R5GHV+68,
